2019-03-12 03:11:39.110+0000 INFO  ======== Neo4j 3.4.1 ========
2019-03-12 03:11:39.147+0000 INFO  Starting...
2019-03-12 03:11:42.175+0000 INFO  Bolt enabled on localhost:7472.
2019-03-12 03:11:45.337+0000 INFO  Started.
2019-03-12 03:11:46.512+0000 INFO  Remote interface available at http://localhost:7474/
2019-03-12 03:46:40.722+0000 INFO  [node-importer] LOADING 2%
2019-03-12 03:46:40.739+0000 INFO  [neo4j.BoltWorker-5 [bolt] [/127.0.0.1:61589] ] LOADING 100%
2019-03-12 03:47:54.843+0000 INFO  [node-importer] LOADING 2%
2019-03-12 03:47:54.849+0000 INFO  [neo4j.BoltWorker-5 [bolt] [/127.0.0.1:61673] ] LOADING 100%
2019-03-12 03:48:07.196+0000 INFO  [node-importer] LOADING 2%
2019-03-12 03:48:07.201+0000 INFO  [neo4j.BoltWorker-5 [bolt] [/127.0.0.1:61691] ] LOADING 100%
